
> global-gardeners-app@0.1.0 dev
> next dev

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.104:3000
- Environments: .env.local
✓ Ready in 7.5s
○ Compiling middleware ...

○ Compiling /feed ...
 GET /api/feed 200 in 2.2s (next.js: 5ms, application-code: 2.2s)
 GET /my-garden 200 in 1788ms (next.js: 1768ms, application-code: 20ms)
 GET /api/profile/me 200 in 1176ms (next.js: 3ms, application-code: 1173ms)
 GET /api/profile/me 200 in 1161ms (next.js: 3ms, application-code: 1158ms)
✓ Finished filesystem cache database compaction in 16.6s
✓ Compiled in 435ms
✓ Compiled in 53ms
✓ Compiled in 49ms
 GET /my-garden 200 in 189ms (next.js: 63ms, application-code: 127ms)
 GET /my-garden 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET /api/profile/me 200 in 1957ms (next.js: 6ms, application-code: 1951ms)
 GET /api/profile/me 200 in 2.1s (next.js: 3ms, application-code: 2.1s)
✓ Compiled in 47ms
✓ Compiled in 42ms
✓ Compiled in 47ms
✓ Compiled in 44ms
✓ Compiled in 48ms
 GET /my-garden 200 in 382ms (next.js: 108ms, application-code: 274ms)
 GET /my-garden 200 in 253ms (next.js: 4ms, application-code: 249ms)
 GET /my-garden 200 in 217ms (next.js: 8ms, application-code: 209ms)
 GET /my-garden 200 in 216ms (next.js: 89ms, application-code: 127ms)
 GET /my-garden 200 in 216ms (next.js: 128ms, application-code: 88ms)
 GET /my-garden 200 in 219ms (next.js: 42ms, application-code: 177ms)
 GET /my-garden 200 in 181ms (next.js: 5ms, application-code: 175ms)
 GET /my-garden 200 in 149ms (next.js: 8ms, application-code: 140ms)
 GET /my-garden 200 in 145ms (next.js: 6ms, application-code: 139ms)
 GET /my-garden 200 in 145ms (next.js: 52ms, application-code: 92ms)
 GET /my-garden 200 in 146ms (next.js: 28ms, application-code: 118ms)
 GET /my-garden 200 in 175ms (next.js: 74ms, application-code: 101ms)
 GET /my-garden 200 in 167ms (next.js: 6ms, application-code: 161ms)
 GET /my-garden 200 in 136ms (next.js: 8ms, application-code: 129ms)
 GET /my-garden 200 in 128ms (next.js: 5ms, application-code: 122ms)
 GET /my-garden 200 in 131ms (next.js: 26ms, application-code: 106ms)
 GET /my-garden 200 in 131ms (next.js: 48ms, application-code: 83ms)
 GET /my-garden 200 in 89ms (next.js: 5ms, application-code: 84ms)
 GET /my-garden 200 in 155ms (next.js: 4ms, application-code: 151ms)
 GET /my-garden 200 in 132ms (next.js: 10ms, application-code: 122ms)
 GET /my-garden 200 in 131ms (next.js: 5ms, application-code: 127ms)
 GET /my-garden 200 in 108ms (next.js: 4ms, application-code: 104ms)
 GET /my-garden 200 in 130ms (next.js: 24ms, application-code: 106ms)
 GET /my-garden 200 in 91ms (next.js: 5ms, application-code: 86ms)
 GET /my-garden 200 in 160ms (next.js: 5ms, application-code: 155ms)
 GET /my-garden 200 in 134ms (next.js: 7ms, application-code: 126ms)
 GET /my-garden 200 in 132ms (next.js: 5ms, application-code: 127ms)
 GET /my-garden 200 in 149ms (next.js: 29ms, application-code: 120ms)
 GET /my-garden 200 in 105ms (next.js: 5ms, application-code: 100ms)
 GET /my-garden 200 in 106ms (next.js: 29ms, application-code: 77ms)
 GET /my-garden 200 in 140ms (next.js: 4ms, application-code: 136ms)
 GET /my-garden 200 in 117ms (next.js: 4ms, application-code: 113ms)
 GET /my-garden 200 in 115ms (next.js: 5ms, application-code: 110ms)
 GET /my-garden 200 in 115ms (next.js: 6ms, application-code: 109ms)
 GET /my-garden 200 in 115ms (next.js: 23ms, application-code: 91ms)
 GET /my-garden 200 in 97ms (next.js: 27ms, application-code: 70ms)
 GET /my-garden 200 in 140ms (next.js: 4ms, application-code: 136ms)
 GET /my-garden 200 in 121ms (next.js: 4ms, application-code: 117ms)
 GET /my-garden 200 in 162ms (next.js: 5ms, application-code: 157ms)
 GET /my-garden 200 in 162ms (next.js: 4ms, application-code: 157ms)
 GET /my-garden 200 in 161ms (next.js: 24ms, application-code: 138ms)
 GET /my-garden 200 in 122ms (next.js: 3ms, application-code: 119ms)
 GET /my-garden 200 in 179ms (next.js: 5ms, application-code: 174ms)
 GET /my-garden 200 in 121ms (next.js: 6ms, application-code: 115ms)
 GET /my-garden 200 in 122ms (next.js: 3ms, application-code: 120ms)
 GET /my-garden 200 in 122ms (next.js: 4ms, application-code: 118ms)
 GET /my-garden 200 in 123ms (next.js: 21ms, application-code: 102ms)
 GET /my-garden 200 in 123ms (next.js: 41ms, application-code: 82ms)
 GET /my-garden 200 in 155ms (next.js: 4ms, application-code: 151ms)
 GET /my-garden 200 in 133ms (next.js: 5ms, application-code: 129ms)
 GET /my-garden 200 in 133ms (next.js: 7ms, application-code: 127ms)
 GET /my-garden 200 in 123ms (next.js: 4ms, application-code: 119ms)
 GET /my-garden 200 in 123ms (next.js: 30ms, application-code: 93ms)
 GET /my-garden 200 in 118ms (next.js: 26ms, application-code: 92ms)
 GET /my-garden 200 in 134ms (next.js: 3ms, application-code: 131ms)
 GET /my-garden 200 in 116ms (next.js: 4ms, application-code: 111ms)
 GET /my-garden 200 in 116ms (next.js: 5ms, application-code: 111ms)
 GET /my-garden 200 in 114ms (next.js: 4ms, application-code: 110ms)
 GET /my-garden 200 in 118ms (next.js: 3ms, application-code: 114ms)
 GET /my-garden 200 in 119ms (next.js: 22ms, application-code: 97ms)
 GET /my-garden 200 in 147ms (next.js: 4ms, application-code: 143ms)
 GET /my-garden 200 in 127ms (next.js: 4ms, application-code: 122ms)
 GET /my-garden 200 in 129ms (next.js: 4ms, application-code: 125ms)
 GET /my-garden 200 in 121ms (next.js: 4ms, application-code: 117ms)
 GET /my-garden 200 in 102ms (next.js: 3ms, application-code: 99ms)
 GET /my-garden 200 in 106ms (next.js: 12ms, application-code: 94ms)
 GET /my-garden 200 in 139ms (next.js: 4ms, application-code: 135ms)
 GET /my-garden 200 in 121ms (next.js: 4ms, application-code: 117ms)
 GET /my-garden 200 in 101ms (next.js: 5ms, application-code: 96ms)
 GET /my-garden 200 in 99ms (next.js: 4ms, application-code: 95ms)
 GET /my-garden 200 in 125ms (next.js: 3ms, application-code: 122ms)
 GET /my-garden 200 in 109ms (next.js: 3ms, application-code: 106ms)
 GET /my-garden 200 in 189ms (next.js: 9ms, application-code: 180ms)
 GET /my-garden 200 in 185ms (next.js: 26ms, application-code: 159ms)
 GET /my-garden 200 in 143ms (next.js: 5ms, application-code: 138ms)
 GET /my-garden 200 in 118ms (next.js: 6ms, application-code: 111ms)
 GET /my-garden 200 in 59ms (next.js: 4ms, application-code: 55ms)
 GET /my-garden 200 in 35ms (next.js: 5ms, application-code: 30ms)
✓ Compiled in 53ms
 GET /my-garden/view-all 200 in 874ms (next.js: 855ms, application-code: 18ms)
✓ Compiled in 43ms
 GET /my-garden 200 in 79ms (next.js: 56ms, application-code: 23ms)
 GET /api/profile/me 200 in 2.5s (next.js: 51ms, application-code: 2.5s)
 GET /api/profile/me 200 in 1579ms (next.js: 2ms, application-code: 1576ms)
 GET /my-garden 200 in 334ms (next.js: 79ms, application-code: 254ms)
 GET /my-garden 200 in 209ms (next.js: 7ms, application-code: 203ms)
 GET /my-garden 200 in 192ms (next.js: 6ms, application-code: 185ms)
 GET /my-garden 200 in 192ms (next.js: 39ms, application-code: 152ms)
 GET /my-garden 200 in 192ms (next.js: 65ms, application-code: 127ms)
 GET /my-garden 200 in 192ms (next.js: 89ms, application-code: 103ms)
 GET /my-garden 200 in 180ms (next.js: 5ms, application-code: 175ms)
 GET /my-garden 200 in 146ms (next.js: 5ms, application-code: 141ms)
 GET /my-garden 200 in 137ms (next.js: 6ms, application-code: 131ms)
 GET /my-garden 200 in 137ms (next.js: 26ms, application-code: 111ms)
 GET /my-garden 200 in 160ms (next.js: 47ms, application-code: 113ms)
 GET /my-garden 200 in 141ms (next.js: 53ms, application-code: 88ms)
 GET /my-garden 200 in 160ms (next.js: 5ms, application-code: 155ms)
